token,list of numbers
thi,"[1001, 0, 745, 0, 968, 0, 1580, 0, 1612]"
plac,"[545, 0, 545, 0, 922, 0, 1516, 0, 1600]"
is,"[978, 0, 1228, 0, 2226, 0, 3944, 0, 3326]"
so,"[546, 0, 460, 0, 612, 0, 1082, 0, 893]"
cut,"[28, 0, 40, 0, 51, 0, 101, 0, 79]"
!,"[541, 0, 317, 0, 599, 0, 2080, 0, 2851]"
they,"[880, 0, 828, 0, 1190, 0, 1733, 0, 1374]"
hav,"[622, 0, 577, 0, 849, 0, 1311, 0, 1264]"
a,"[2115, 0, 2342, 0, 4064, 0, 6390, 0, 4652]"
light,"[18, 0, 29, 0, 46, 0, 94, 0, 77]"
pink,"[7, 0, 7, 0, 10, 0, 14, 0, 5]"
them,"[219, 0, 138, 0, 200, 0, 264, 0, 168]"
going,"[133, 0, 98, 0, 108, 0, 152, 0, 155]"
on,"[1319, 0, 1210, 0, 1707, 0, 2794, 0, 1968]"
with,"[702, 0, 799, 0, 1307, 0, 2115, 0, 1648]"
simpl,"[11, 0, 9, 0, 23, 0, 40, 0, 34]"
dec,"[53, 0, 135, 0, 365, 0, 372, 0, 182]"
,"[7001, 0, 7059, 0, 10389, 0, 16189, 0, 12224]"
ther,"[498, 0, 475, 0, 704, 0, 866, 0, 645]"
good,"[256, 0, 438, 0, 1150, 0, 1921, 0, 1067]"
amount,"[30, 0, 42, 0, 63, 0, 117, 0, 71]"
of,"[1400, 0, 1641, 0, 2269, 0, 3754, 0, 2817]"
seat,"[75, 0, 59, 0, 118, 0, 198, 0, 132]"
if,"[406, 0, 367, 0, 544, 0, 786, 0, 581]"
you,"[620, 0, 676, 0, 1152, 0, 1991, 0, 1726]"
re,"[73, 0, 94, 0, 171, 0, 284, 0, 217]"
feel,"[65, 0, 85, 0, 150, 0, 202, 0, 157]"
lik,"[373, 0, 437, 0, 694, 0, 911, 0, 558]"
din,"[116, 0, 142, 0, 246, 0, 436, 0, 402]"
in,"[1035, 0, 1068, 0, 1529, 0, 2477, 0, 2290]"
the,"[5139, 0, 5710, 0, 8402, 0, 13137, 0, 9890]"
work,"[106, 0, 81, 0, 87, 0, 153, 0, 145]"
ar,"[433, 0, 482, 0, 942, 0, 1511, 0, 1424]"
sup,"[35, 0, 30, 0, 71, 0, 169, 0, 191]"
friend,"[181, 0, 198, 0, 355, 0, 777, 0, 747]"
and,"[3226, 0, 3110, 0, 4395, 0, 8036, 0, 7192]"
help,"[26, 0, 35, 0, 47, 0, 136, 0, 104]"
it,"[1687, 0, 1873, 0, 2845, 0, 4352, 0, 2895]"
was,"[2148, 0, 2401, 0, 3148, 0, 4310, 0, 2686]"
my,"[871, 0, 684, 0, 876, 0, 1583, 0, 1337]"
first,"[142, 0, 136, 0, 158, 0, 246, 0, 215]"
tim,"[476, 0, 429, 0, 530, 0, 877, 0, 729]"
i,"[3180, 0, 2786, 0, 3917, 0, 6300, 0, 4476]"
origin,"[11, 0, 8, 0, 17, 0, 20, 0, 18]"
thought,"[51, 0, 41, 0, 85, 0, 93, 0, 45]"
that,"[965, 0, 944, 0, 1331, 0, 1752, 0, 1141]"
gon,"[31, 0, 37, 0, 28, 0, 25, 0, 36]"
na,"[14, 0, 11, 0, 12, 0, 12, 0, 14]"
